t,f,v
0,0,0
0.197524,-3.7,0
0.245893,-3.7,-0.1789653
0.300405,-3.7,-0.3806597
0.372741,-3.7,-0.6483029
0.427856,-3.7,-0.852228400000001
0.481767,-3.7,-1.0516991
0.548939,-2.7,-1.3002355
0.605789,-3.7,-1.4537305
0.656493,-3.7,-1.6413353
0.707762,-3.7,-1.8310306
0.761759,-3.7,-2.0308195
0.818243,-3.7,-2.2398103
0.874181,-2.7,-2.4467809
0.925447,-2.7,-2.5851991
0.995772,-3.7,-2.7750766
1.046852,-2.7,-2.9640726
1.099035,-2.7,-3.1049667
1.15609,-1.7,-3.2590152
1.216067,-0.700000000000003,-3.3609761
1.285261,1.3,-3.4094119
1.340001,4.3,-3.3382499
1.392045,6.3,-3.1144607
1.446518,7.3,-2.7712808
1.511075,9.3,-2.3000147
1.576051,10.3,-1.6957379
1.633842,12.3,-1.1004906
1.703226,13.3,-0.247067400000006
1.754419,13.3,0.433799499999995
1.806763,12.3,1.12997469999999
1.862275,11.3,1.81277229999999
1.918737,9.3,2.45079289999999
1.969981,8.3,2.92736209999999
2.022693,7.3,3.36487169999999
2.07658,6.3,3.75824679999999
2.130162,4.3,4.09581339999999
2.186403,4.3,4.33764969999999
2.240003,3.3,4.56812969999999
2.292427,2.3,4.74112889999999
2.346316,0.299999999999997,4.86507359999999
2.400069,-1.7,4.88119949999999
2.473382,-2.7,4.75656739999999
2.527058,-3.7,4.61164219999999
2.580613,-4.7,4.41348869999999
2.630078,-5.7,4.18100319999999
2.686488,-6.7,3.85946619999999
2.738544,-7.7,3.51069099999999
2.790132,-9.7,3.11346339999999
2.841083,-10.7,2.61923869999999
2.895022,-11.7,2.04209139999999
2.948326,-11.7,1.41843459999999
2.997702,-11.7,0.840735399999991
3.054093,-11.7,0.18096069999999
3.103166,-11.7,-0.393193400000009
3.15331,-11.7,-0.979878200000009
3.206247,-10.7,-1.59924110000001
3.255686,-9.7,-2.12823840000001
3.306229,-8.7,-2.61850550000001
