t,f,v
0,0,20
0.180026,0,20
0.225007,0,20
0.272859,0,20
0.319179,0,20
0.365099,0,20
0.412614,0,20
0.458253,0,20
0.504388,0,20
0.551423,0,20
0.606356,0,20
0.652342,0,20
0.698039,0,20
0.743622,0,20
0.789167,0,20
0.835671,1,20.046504
0.883454,0,20.046504
0.929603,1,20.092653
0.975483,0,20.092653
1.020538,1,20.137708
1.067953,1,20.185123
1.115859,1,20.233029
1.160512,1,20.277682
1.205039,1,20.322209
1.251946,1,20.369116
1.297358,0,20.369116
1.343414,1,20.415172
1.389333,0,20.415172
1.433647,0,20.415172
1.478682,1,20.460207
1.523304,0,20.460207
1.567921,0,20.460207
1.621509,0,20.460207
1.668432,0,20.460207
1.715515,1,20.50729
1.761761,3,20.646028
1.808612,20,21.583048
1.853192,20,22.474648
1.902853,19,23.418207
1.949266,19,24.300054
1.996016,19,25.188304
2.043303,19,26.086757
2.097426,19,27.115094
2.151356,19,28.139764
2.206622,20,29.245084
2.261847,19,30.294359
2.313986,19,31.285
2.367908,19,32.309518
2.415338,20,33.258118
2.458612,20,34.123598
2.503344,20,35.018238
2.555706,20,36.065478
2.605237,20,37.056098
2.650641,20,37.964178
2.696566,19,38.836753
2.743852,20,39.782473
2.790626,20,40.717953
2.837162,20,41.648673
2.882556,20,42.556553
2.928703,20,43.479493
2.973767,20,44.380773
3.019822,20,45.301873
3.064125,20,46.187933
3.112458,20,47.154593
3.157269,20,48.050813
3.203487,20,48.975173
3.247496,20,49.855353
3.29448,20,50.795033
3.341141,20,51.728253
3.387761,20,52.660653
3.432332,20,53.552073
3.478646,20,54.478353
3.524442,20,55.394273
3.570516,20,56.315753
3.617715,20,57.259733
3.662662,20,58.158673
3.706748,20,59.040393
3.753315,20,59.971733
3.799731,20,60.900053
3.845133,20,61.808093
3.893228,20,62.769993
3.938873,20,63.682893
3.98539,20,64.613233
4.030321,20,65.511853
4.077318,20,66.451793
4.122874,20,67.362913
4.169564,20,68.296713
4.215841,20,69.222253
4.261665,20,70.138733
4.307743,20,71.060293
4.354183,19,71.942653
4.401097,11,72.458707
4.446186,0,72.458707
4.493133,0,72.458707
4.541385,0,72.458707
4.58845,0,72.458707
4.635336,1,72.505593
4.683584,1,72.553841
4.730095,1,72.600352
4.778507,1,72.648764
4.823948,1,72.694205
4.869976,1,72.740233
4.917588,1,72.787845
4.962999,1,72.833256
5.010868,1,72.881125
5.057463,1,72.92772
5.103075,1,72.973332
