t,f,v
0,0,0
0.168258,-3,-0.504774
0.210902,-2,-0.590062
0.258838,-2,-0.685934
0.306666,-2,-0.78159
0.361825,-3,-0.947067
0.408145,-3,-1.086027
0.455898,-2,-1.181533
0.50263,-4,-1.368461
0.552348,-4,-1.567333
0.599429,-3,-1.708576
0.645452,-3,-1.846645
0.691433,-2,-1.938607
0.738136,-2,-2.032013
0.796705,-2,-2.149151
0.844188,-2,-2.244117
0.891161,-2,-2.338063
0.9395,-2,-2.434741
0.988436,-2,-2.532613
1.036325,-2,-2.628391
1.09967,-2,-2.755081
1.146498,-2,-2.848737
1.195406,-2,-2.946553
1.242089,-3,-3.086602
1.288808,-3,-3.226759
1.33545,-5,-3.459969
1.38272,-6,-3.743589
1.429453,-6,-4.023987
1.476441,-8,-4.399891
1.522299,-9,-4.812613
1.569601,-9,-5.238331
1.615917,-10,-5.701491
1.663507,-10,-6.177391
1.709475,-10,-6.637071
1.756829,-10,-7.110611
1.80322,-11,-7.620912
1.854399,-11,-8.183881
1.90046,-10,-8.644491
1.949235,-11,-9.181016
2.014628,-12,-9.965732
2.062302,-11,-10.490146
2.107948,-10,-10.946606
2.157261,-10,-11.439736
2.201675,-10,-11.883876
2.248799,-9,-12.307992
2.294306,-8,-12.672048
2.34198,-7,-13.005766
2.388845,-7,-13.333821
2.435086,-5,-13.565026
2.48049,-5,-13.792046
2.526594,-4,-13.976462
2.573903,-2,-14.07108
2.619823,-2,-14.16292
2.666152,0,-14.16292
2.711761,0,-14.16292
2.759353,1,-14.115328
2.804756,3,-13.979119
2.8543,5,-13.731399
2.899998,7,-13.411513
2.947332,9,-12.985507
2.994433,9,-12.561598
3.03975,9,-12.153745
3.086428,10,-11.686965
3.133638,11,-11.167655
3.180519,12,-10.605083
3.226988,12,-10.047455
3.273439,13,-9.44359199999999
3.320545,13,-8.83121399999999
3.368354,13,-8.20969699999999
3.415907,13,-7.59150799999999
3.462574,13,-6.98483699999999
3.510131,12,-6.41415299999999
3.558829,11,-5.87847499999999
3.605259,10,-5.41417499999999
3.653528,8,-5.02802299999999
3.699443,7,-4.70661799999999
3.745514,6,-4.43019199999999
3.793073,6,-4.14483799999999
3.840628,5,-3.90706299999999
3.887225,4,-3.72067499999999
3.933606,3,-3.58153199999999
3.981025,2,-3.48669399999999
4.027587,0,-3.48669399999999
4.075274,0,-3.48669399999999
4.129635,-1,-3.54105499999999
4.178409,-2,-3.63860299999999
4.224731,-3,-3.77756899999999
4.272403,-4,-3.96825699999999
4.318501,-5,-4.19874699999999
4.366738,-6,-4.48816899999999
4.413864,-7,-4.81805099999999
4.461675,-8,-5.20053899999999
4.508369,-9,-5.62078499999999
4.558529,-9,-6.07222499999999
4.60507,-10,-6.537635
4.655879,-11,-7.09653399999999
4.702694,-10,-7.56468399999999
4.750527,-10,-8.04301399999999
4.798436,-11,-8.57001299999999
4.845466,-11,-9.08734299999999
4.892696,-11,-9.60687299999999
4.94208,-11,-10.150097
4.990754,-12,-10.734185
5.039355,-12,-11.317397
5.087652,-11,-11.848664
5.13469,-10,-12.319044
5.182248,-10,-12.794624
5.228953,-9,-13.214969
5.276112,-8,-13.592241
5.322901,-7,-13.919764
5.37059,-6,-14.205898
5.417512,-5,-14.440508
5.464127,-5,-14.673583
5.511409,-4,-14.862711
5.558204,-3,-15.003096
5.603714,-2,-15.094116
5.652209,-2,-15.191106
